a,theta_true,n_obs,bias,info_emp,info_analytic
0.02,0.882,8,-0.0005985208138181708,406.1128974000687,574.5475438092502
0.039999999999999994,0.864,16,0.00019501146378730905,809.3260108883519,865.0519031141868
0.06,0.846,24,-4.3429469604006066e-05,941.2090554490294,1011.9750379490636
0.07999999999999999,0.8280000000000001,32,-0.00022411877879402464,1012.3195699612396,1081.6657652785298
0.09999999999999999,0.81,40,0.00023659900949946078,1047.75855516319,1108.0332409972305
0.11999999999999998,0.792,48,-0.00016870079559860862,1053.6545079442985,1109.4674556213022
0.13999999999999999,0.774,56,-5.233115553116008e-07,1072.0602009518564,1096.4053567233145
0.15999999999999998,0.756,64,-8.268661810373334e-05,1010.7325177736487,1074.9798441279227
0.17999999999999997,0.738,72,0.0003058521204023501,1027.2224130837951,1048.8899248295552
0.19999999999999996,0.7200000000000001,80,-0.0003025535204032037,941.8659174885504,1020.4081632653067
0.21999999999999995,0.7020000000000001,88,-0.00014616764420516404,961.4911784234122,990.9463537678488
0.23999999999999996,0.684,96,0.00035539415433871735,953.1831044176259,961.3843935266787
0.25999999999999995,0.666,104,0.0006789778115323664,930.6978403156436,932.267202122701
0.27999999999999997,0.648,112,0.0004336570629691616,904.3290431002706,903.9256198347108
0.3,0.63,120,-0.0003963132345639053,854.0574774721256,876.5522279035793
0.35,0.585,140,-0.00025226427387270434,809.6073067333775,812.8901146755696
0.39999999999999997,0.54,160,-0.00011001640305963178,747.3740295692066,756.1436672967866
0.44999999999999996,0.49500000000000005,180,0.0007057870880164407,699.256708868203,705.8131555729833
0.5,0.45,200,-0.0003466470072454042,660.0932721094343,661.1570247933884
0.55,0.40499999999999997,220,-7.816391009496382e-05,600.1427739075409,621.4250406044771
0.6,0.36,240,-0.0005948013020829479,586.4901231305893,585.9375
0.65,0.31499999999999995,260,-0.0002092343551415854,546.5153352164352,554.1051734242634
0.7,0.27,280,8.92066012153081e-05,530.0288787519139,525.4269093638582
0.75,0.22499999999999998,300,-0.00020338614579204495,489.06824977969876,499.47970863683656
0.8,0.17999999999999994,320,0.00037939698119698884,465.1599363444277,475.90719809637113
0.85,0.135,340,0.0010769055879879252,443.2213264417191,454.4087674162184
0.9,0.08999999999999997,360,-0.000717466823409979,424.00758807680717,434.7301050597754
0.9500000000000001,0.04499999999999993,380,-3.857986313069578e-05,407.7374266555074,416.65524519612944
1.0,0.0,400,0.0003490267244204763,395.97526751313336,400.0
